obs_min,obs_max,mean,variance,status
9.95685363908969, 35.9339194159818, 22.945386527535746, 123.12566123613375, FUNCTIONAL
8.97533368376664, 30.4712943523822, 19.72331401807442, 68.7157406894279, DEGRADED
0.484243279582171, 0.514499998122454, 0.4993716388523125, 0.0001271553931463075, DEGRADED
22.6241964065849, 47.046607199767, 34.835401803175955, 118.42933190744911, FUNCTIONAL
2.1679233358109, 2.23428377470931, 2.2011035552601053, 0.0006116343274579334, DEGRADED
8.01384790027245, 34.9605950694067, 21.487221484839576, 135.87741499509852, FUNCTIONAL
8.19907351249242, 32.5652345733422, 20.38215404291731, 137.75929258716616, FUNCTIONAL
7.63631254112104, 31.5789783618832, 19.60764545150212, 95.18154524902047, DEGRADED
14.9428165957092, 38.3122928329274, 26.6275547143183, 108.51367281513427, FUNCTIONAL
8.02825948456153, 45.4958450891109, 26.762052286836216, 258.53085449880905, FUNCTIONAL
14.0093514145744, 65.1095148510874, 39.5594331328309, 642.7758915861834, FUNCTIONAL
12.3340896519925, 35.0398956524956, 23.68699265224405, 95.61090073396988, FUNCTIONAL
5.55623396804441, 34.0945756809966, 19.825404824520504, 183.57345951890684, DEGRADED
6.89365782938549, 31.7953832118009, 19.344520520593196, 145.60086424604316, DEGRADED
7.63631254112104, 31.5789783618832, 19.60764545150212, 95.18154524902047, DEGRADED
5.23519223558765, 28.1275066811952, 16.681349458391423, 81.23610353033911, DEGRADED
0.088255511612537, 0.093769934397699, 0.09101272300511801, 4.22368240339195e-06, DEGRADED
12.920371332215, 38.1790003951386, 25.5496858636768, 113.31485422117109, FUNCTIONAL
1.25058583552564, 1.40016238864525, 1.325374112085445, 0.0031640818688347307, DEGRADED
7.60049729843006, 31.1634724107502, 19.38198485459013, 125.90417833235493, DEGRADED
7.60049729843006, 31.1634724107502, 19.38198485459013, 125.90417833235493, DEGRADED
4.91904772243685, 30.4662774622344, 17.692662592335626, 119.52815898728325, DEGRADED
8.28122359049269, 31.5266660265585, 19.903944808525594, 99.10648663288097, DEGRADED
6.58227848101266, 32.2706630418353, 19.426470761423978, 141.8997832084249, DEGRADED
7.0383685948641, 32.9142326587952, 19.97630062682965, 164.82515238003384, DEGRADED
7.83832050587554, 31.0853208442507, 19.46182067506312, 130.47592397953107, DEGRADED
8.97533368376664, 30.4712943523822, 19.72331401807442, 68.7157406894279, DEGRADED
6.58227848101266, 32.2706630418353, 19.426470761423978, 141.8997832084249, DEGRADED
1.13142014800417, 1.27882232976379, 1.2051212388839798, 0.0030183650671962697, DEGRADED
8.27520980578458, 30.2779904113182, 19.276600108551392, 118.92696024144057, DEGRADED
8.73440285204991, 33.18282300168, 20.958612926864955, 103.56145315589086, FUNCTIONAL
0.302795473396784, 0.40181412716241, 0.352304800279597, 0.0013633738083410358, DEGRADED
11.6848586621886, 35.0669647509458, 23.3759117065672, 80.49636628231886, FUNCTIONAL
6.25897215044502, 31.9955389604765, 19.12725555546076, 100.76169312917565, DEGRADED
6.46044582533348, 33.109963584876, 19.78520470510474, 172.35536209239348, DEGRADED
11.6215477167077, 42.0440697155879, 26.832808716147802, 222.0876115295772, FUNCTIONAL
7.63631254112104, 31.5789783618832, 19.60764545150212, 95.18154524902047, DEGRADED
7.72297401305088, 37.3036851832368, 22.51332959814384, 158.6583207334156, FUNCTIONAL
11.6988224548315, 46.4958619878466, 29.09734222133905, 283.5776442514213, FUNCTIONAL
6.46044582533348, 33.109963584876, 19.78520470510474, 172.35536209239348, DEGRADED
0.132859165752109, 0.154960391240141, 0.143909778496125, 6.786602639342673e-05, DEGRADED
0.260506646909002, 0.294445628979462, 0.277476137944232, 0.00016001532108096553, DEGRADED
16.6406324584976, 39.0056703152689, 27.82315138688325, 86.8652400334224, FUNCTIONAL
6.82887881270003, 29.6661848915401, 18.247531852120066, 96.99215187521602, DEGRADED
7.81568970545349, 33.0799822556164, 20.447835980534947, 135.7448925204091, FUNCTIONAL
4.79158752866042, 45.6965012059448, 25.24404436730261, 307.279736011576, FUNCTIONAL
8.73440285204991, 33.18282300168, 20.958612926864955, 103.56145315589086, FUNCTIONAL
8.16142093210619, 30.3730581329752, 19.267239532540692, 117.23291685918214, DEGRADED
6.2558340476367, 37.9312350349876, 22.093534541312152, 179.56200160884111, FUNCTIONAL
9.71538748165511, 31.9680277373587, 20.841707609506905, 88.1402571366643, FUNCTIONAL
7.79495309816356, 30.666264958949, 19.23060902855628, 78.55098461223706, DEGRADED
7.57288905123611, 34.792263557537, 21.182576304386554, 123.44433971595868, FUNCTIONAL
6.67408231849404, 28.2618245296958, 17.467953424094922, 104.02497129685679, DEGRADED
10.0117318162989, 39.1646105877873, 24.5881712020431, 154.29105158288687, FUNCTIONAL
6.95243301587612, 29.3099639774838, 18.13119849667996, 90.06721493408335, DEGRADED
8.30653804930332, 39.2975820447852, 23.80206004704426, 176.0907324375028, FUNCTIONAL
5.96511703116993, 29.6935185331319, 17.829317782150916, 98.25299805288226, DEGRADED
9.45954720672603, 31.7767326852928, 20.618139946009414, 92.58962557844923, FUNCTIONAL
7.94036622913628, 31.1951732145861, 19.56776972186119, 114.24596757425641, DEGRADED
3.84424603174603, 43.3743977431353, 23.609321887440665, 286.5658628110451, FUNCTIONAL
5.55623396804441, 34.0945756809966, 19.825404824520504, 183.57345951890684, DEGRADED
17.6598570425945, 57.2115365474619, 37.4356967950282, 348.92704650593026, FUNCTIONAL
4.8332074181923, 34.8947644644641, 19.863985941328203, 166.90915404831458, DEGRADED
6.58227848101266, 32.2706630418353, 19.426470761423978, 141.8997832084249, DEGRADED
